,Stkcd,Time,Indcd
0,000002,2016-12-31,K70
1,000002,2017-12-31,K70
2,000002,2018-12-31,K70
3,000002,2019-12-31,K70
4,000002,2020-12-31,K70
5,000004,2016-12-31,C27
6,000004,2017-12-31,C27
7,000004,2018-12-31,C27
8,000004,2019-12-31,C27
9,000004,2020-12-31,I65
10,000006,2016-12-31,K70
11,000006,2017-12-31,K70
12,000006,2018-12-31,K70
13,000006,2019-12-31,K70
14,000006,2020-12-31,K70
15,000008,2016-12-31,C37
16,000008,2017-12-31,C37
17,000008,2018-12-31,C37
18,000008,2019-12-31,C37
19,000008,2020-12-31,C37
20,000009,2016-12-31,S90
21,000009,2017-12-31,S90
22,000009,2018-12-31,S90
23,000009,2019-12-31,S90
24,000009,2020-12-31,S90
25,000010,2016-12-31,E48
26,000010,2017-12-31,E48
27,000010,2018-12-31,E48
28,000010,2019-12-31,E48
29,000010,2020-12-31,E48
30,000011,2016-12-31,K70
31,000011,2017-12-31,K70
32,000011,2018-12-31,K70
33,000011,2019-12-31,K70
34,000011,2020-12-31,K70
35,000012,2016-12-31,C30
36,000012,2017-12-31,C30
37,000012,2018-12-31,C30
38,000012,2019-12-31,C30
39,000012,2020-12-31,C30
40,000014,2016-12-31,K70
41,000014,2017-12-31,K70
42,000014,2018-12-31,K70
43,000014,2019-12-31,K70
44,000014,2020-12-31,K70
45,000016,2016-12-31,C39
46,000016,2017-12-31,C39
47,000016,2018-12-31,C39
48,000016,2019-12-31,C39
49,000016,2020-12-31,C39
50,000017,2016-12-31,C37
51,000017,2017-12-31,C37
52,000017,2018-12-31,C37
53,000017,2019-12-31,C37
54,000017,2020-12-31,C37
55,000018,2016-12-31,E50
56,000018,2017-12-31,E50
57,000018,2018-12-31,E50
58,000019,2016-12-31,C15
59,000019,2017-12-31,C15
60,000019,2018-12-31,C15
61,000019,2019-12-31,F51
62,000019,2020-12-31,F51
63,000020,2016-12-31,C39
64,000020,2017-12-31,C39
65,000020,2018-12-31,C39
66,000020,2019-12-31,C39
67,000020,2020-12-31,C39
68,000021,2016-12-31,C39
69,000021,2017-12-31,C39
70,000021,2018-12-31,C39
71,000021,2019-12-31,C39
72,000021,2020-12-31,C39
73,000022,2016-12-31,G55
74,000022,2017-12-31,G55
75,000023,2016-12-31,C30
76,000023,2017-12-31,C30
77,000023,2018-12-31,C30
78,000023,2019-12-31,C30
79,000023,2020-12-31,C30
80,000025,2016-12-31,F51
81,000025,2017-12-31,F51
82,000025,2018-12-31,F51
83,000025,2019-12-31,F51
84,000025,2020-12-31,F51
85,000026,2016-12-31,F52
86,000026,2017-12-31,F52
87,000026,2018-12-31,F52
88,000026,2019-12-31,F52
89,000026,2020-12-31,F52
90,000027,2016-12-31,D44
91,000027,2017-12-31,D44
92,000027,2018-12-31,D44
93,000027,2019-12-31,D44
94,000027,2020-12-31,D44
95,000028,2016-12-31,F51
96,000028,2017-12-31,F51
97,000028,2018-12-31,F51
98,000028,2019-12-31,F51
99,000028,2020-12-31,F51
100,000029,2016-12-31,K70
101,000029,2017-12-31,K70
102,000029,2018-12-31,K70
103,000029,2019-12-31,K70
104,000029,2020-12-31,K70
105,000030,2016-12-31,C36
106,000030,2017-12-31,C36
107,000030,2018-12-31,C36
108,000030,2019-12-31,C36
109,000030,2020-12-31,C36
110,000031,2016-12-31,K70
111,000031,2017-12-31,K70
112,000031,2018-12-31,K70
113,000031,2019-12-31,K70
114,000031,2020-12-31,K70
115,000032,2016-12-31,F51
116,000032,2017-12-31,F51
117,000032,2018-12-31,F51
118,000032,2019-12-31,F51
119,000032,2020-12-31,F51
120,000033,2016-12-31,H61
121,000034,2016-12-31,F51
122,000034,2017-12-31,F51
123,000034,2018-12-31,F51
124,000034,2019-12-31,F51
125,000034,2020-12-31,F51
126,000035,2016-12-31,N77
127,000035,2017-12-31,N77
128,000035,2018-12-31,N77
129,000035,2019-12-31,N77
130,000035,2020-12-31,N77
131,000036,2016-12-31,K70
132,000036,2017-12-31,K70
133,000036,2018-12-31,K70
134,000036,2019-12-31,K70
135,000036,2020-12-31,K70
136,000037,2016-12-31,D44
137,000037,2017-12-31,D44
138,000037,2018-12-31,D44
139,000037,2019-12-31,D44
140,000037,2020-12-31,D44
141,000038,2016-12-31,L72
142,000038,2017-12-31,L72
143,000038,2018-12-31,L72
144,000038,2019-12-31,L72
145,000038,2020-12-31,L72
146,000039,2016-12-31,C33
147,000039,2017-12-31,C33
148,000039,2018-12-31,C33
149,000039,2019-12-31,C33
150,000039,2020-12-31,C33
151,000040,2016-12-31,K70
152,000040,2017-12-31,E48
153,000040,2018-12-31,D44
154,000040,2019-12-31,D44
155,000040,2020-12-31,D44
156,000042,2016-12-31,K70
157,000042,2017-12-31,K70
158,000042,2018-12-31,K70
159,000042,2019-12-31,K70
160,000042,2020-12-31,K70
161,000043,2016-12-31,K70
162,000043,2017-12-31,K70
163,000043,2018-12-31,K70
164,000045,2016-12-31,C39
165,000045,2017-12-31,C39
166,000045,2018-12-31,C39
167,000045,2019-12-31,C39
168,000045,2020-12-31,C39
169,000048,2016-12-31,C13
170,000048,2017-12-31,C13
171,000048,2018-12-31,C13
172,000048,2019-12-31,C13
173,000048,2020-12-31,C13
174,000049,2016-12-31,C38
175,000049,2017-12-31,C38
176,000049,2018-12-31,C38
177,000049,2019-12-31,C38
178,000049,2020-12-31,C38
179,000050,2016-12-31,C39
180,000050,2017-12-31,C39
181,000050,2018-12-31,C39
182,000050,2019-12-31,C39
183,000050,2020-12-31,C39
184,000055,2016-12-31,C33
185,000055,2017-12-31,C33
186,000055,2018-12-31,C33
187,000055,2019-12-31,C33
188,000055,2020-12-31,C33
189,000056,2016-12-31,K70
190,000056,2017-12-31,K70
191,000056,2018-12-31,K70
192,000056,2019-12-31,L72
193,000056,2020-12-31,L72
194,000058,2016-12-31,L72
195,000058,2017-12-31,L72
196,000058,2018-12-31,L72
197,000058,2019-12-31,L72
198,000058,2020-12-31,L72
199,000059,2016-12-31,C25
200,000059,2017-12-31,C25
201,000059,2018-12-31,C25
202,000059,2019-12-31,C25
203,000059,2020-12-31,C25
204,000060,2016-12-31,C32
205,000060,2017-12-31,C32
206,000060,2018-12-31,C32
207,000060,2019-12-31,C32
208,000060,2020-12-31,C32
209,000061,2016-12-31,L72
210,000061,2017-12-31,L72
211,000061,2018-12-31,L72
212,000061,2019-12-31,L72
213,000061,2020-12-31,L72
214,000062,2016-12-31,L72
215,000062,2017-12-31,F51
216,000062,2018-12-31,F51
217,000062,2019-12-31,F51
218,000062,2020-12-31,F51
219,000063,2016-12-31,C39
220,000063,2017-12-31,C39
221,000063,2018-12-31,C39
222,000063,2019-12-31,C39
223,000063,2020-12-31,C39
224,000065,2016-12-31,E48
225,000065,2017-12-31,E48
226,000065,2018-12-31,E48
227,000065,2019-12-31,E48
228,000065,2020-12-31,E48
229,000066,2016-12-31,C39
230,000066,2017-12-31,C39
231,000066,2018-12-31,C39
232,000066,2019-12-31,C39
233,000066,2020-12-31,C39
234,000068,2016-12-31,C39
235,000068,2017-12-31,C39
236,000068,2018-12-31,C39
237,000068,2019-12-31,C39
238,000068,2020-12-31,M74
239,000069,2016-12-31,N78
240,000069,2017-12-31,N78
241,000069,2018-12-31,K70
242,000069,2019-12-31,K70
243,000069,2020-12-31,K70
244,000070,2016-12-31,C38
245,000070,2017-12-31,C38
246,000070,2018-12-31,C38
247,000070,2019-12-31,C38
248,000070,2020-12-31,C38
249,000078,2016-12-31,F52
250,000078,2017-12-31,F52
251,000078,2018-12-31,F52
252,000078,2019-12-31,F52
253,000078,2020-12-31,F52
254,000088,2016-12-31,G54
255,000088,2017-12-31,G54
256,000088,2018-12-31,G54
257,000088,2019-12-31,G54
258,000088,2020-12-31,G54
259,000089,2016-12-31,G56
260,000089,2017-12-31,G56
261,000089,2018-12-31,G56
262,000089,2019-12-31,G56
263,000089,2020-12-31,G56
264,000090,2016-12-31,E48
265,000090,2017-12-31,E48
266,000090,2018-12-31,E48
267,000090,2019-12-31,E48
268,000090,2020-12-31,E48
269,000096,2016-12-31,F51
270,000096,2017-12-31,F51
271,000096,2018-12-31,F51
