,FEM_Ind_NCSKEW,FEM_Ind_DUVOL,FEM_Firm_NCSKEW,FEM_Firm_DUVOL
const,-1.676***(-5.05),-0.655***(-3.05),-9.683***(-6.92),-5.014***(-13.93)
ControlCrashRisk,0.023(1.59),0.027(1.22),-0.327***(-3.88),-0.326***(-4.01)
ANALYST,0.024(1.13),0.033**(2.46),0.179***(42.29),0.082***(10.37)
Dturn,-0.062***(-2.65),-0.034(-1.61),-0.124**(-2.38),-0.077***(-3.09)
RET,12.886***(3.33),7.871**(2.27),-8.798(-1.53),-3.857*(-1.81)
SIGMA,0.726(0.55),-0.074(-0.1),4.951***(3.37),2.299***(2.68)
PB,0.033*(1.89),0.018*(1.82),0.219***(15.94),0.098***(9.16)
ROA_TTM,-0.235*(-1.94),-0.094(-1.63),0.875***(4.23),0.554***(8.14)
LEV,-0.218***(-4.72),-0.098***(-2.84),-0.423***(-14.39),-0.179*(-1.88)
SIZE,0.034***(3.87),-0.006(-0.91),0.354***(6.41),0.168***(15.88)
ACCM,-0.204(-0.73),0.033(0.17),0.382***(3.79),0.4***(3.49)
INS,-0.078(-1.37),-0.045*(-1.68),0.258***(2.59),0.043(1.03)
EX_INDAT,0.175***(7.81),0.087***(4.32),0.046***(6.91),0.013(0.97)
AT,0.004(0.63),0.003(0.83),0.039(1.07),0.025(1.27)
Industry effect,Controled,Controled,Not Controled,Not Controled
Firm Effect,Not Controled,Not Controled,Controled,Controled
Year,Controled,Controled,Controled,Controled
R2,0.01,0.02,0.15,0.14
f_statistic,6.51,8.51,51.12,44.8
N_obs,6527,6527,6527,6527
