,FEM_Ind_NCSKEW,FEM_Ind_DUVOL,FEM_Firm_NCSKEW,FEM_Firm_DUVOL
const,-1.629***(-6.56),-0.683***(-3.07),-11.353***(-10.21),-5.533***(-10.88)
ControlCrashRisk,0.023(1.58),0.031(1.43),-0.324***(-3.94),-0.323***(-4.02)
ANALYST,0.031(1.3),0.036**(2.08),0.177***(44.61),0.078***(17.93)
Dturn,-0.048*(-1.75),-0.028(-1.17),-0.152***(-3.01),-0.091***(-3.57)
RET,9.572***(3.18),6.185**(2.1),-9.402(-1.57),-4.052*(-1.7)
SIGMA,1.661(1.57),0.516(0.81),4.883***(3.35),2.469***(3.33)
PB,0.048***(3.67),0.028***(4.63),0.231***(16.24),0.113***(9.77)
ROA_TTM,-0.358(-1.33),-0.184(-1.05),0.733***(6.81),0.42***(7.54)
LEV,-0.226***(-7.54),-0.112***(-4.91),-0.324***(-11.6),-0.074(-1.63)
SIZE,0.039***(5.68),-0.0(-0.02),0.413***(9.58),0.181***(10.16)
ACCM,-0.022(-0.17),0.112(0.83),0.598***(6.63),0.444***(4.11)
INS,-0.055(-1.22),-0.039*(-1.78),0.233***(2.66),0.06(1.18)
EX_INDAT_read,0.456***(3.19),0.193**(2.05),0.08(1.11),0.057(0.82)
AT,0.024***(11.22),0.012***(5.27),0.086**(2.47),0.045***(2.64)
Industry effect,Controled,Controled,Not Controled,Not Controled
Firm Effect,Not Controled,Not Controled,Controled,Controled
Year,Controled,Controled,Controled,Controled
R2,0.01,0.02,0.17,0.15
f_statistic,8.53,10.98,73.21,64.93
N_obs,7830,7830,7830,7830
