,FEM_Ind_NCSKEW,FEM_Ind_DUVOL,FEM_Firm_NCSKEW,FEM_Firm_DUVOL
const,-1.471***(-6.56),-0.605***(-3.07),-11.469***(-9.65),-5.828***(-13.66)
ControlCrashRisk,0.02(1.59),0.028(1.36),-0.326***(-3.86),-0.325***(-3.91)
ANALYST,0.027(1.26),0.035**(2.26),0.161***(36.67),0.066***(10.08)
Dturn,-0.055**(-2.03),-0.032(-1.34),-0.141***(-3.25),-0.085***(-4.22)
RET,11.248***(3.48),6.978**(2.15),-8.558(-1.35),-3.519(-1.39)
SIGMA,1.37(1.31),0.371(0.59),5.149***(3.66),2.655***(3.46)
PB,0.044***(2.99),0.026***(3.5),0.23***(18.36),0.111***(8.85)
ROA_TTM,-0.426**(-2.34),-0.209(-1.62),0.714***(4.48),0.409***(7.22)
LEV,-0.242***(-4.88),-0.113***(-3.32),-0.33***(-2.9),-0.093***(-12.58)
SIZE,0.036***(4.75),-0.002(-0.34),0.426***(8.83),0.198***(13.8)
ACCM,-0.093(-0.44),0.066(0.37),0.633***(4.57),0.465***(4.12)
INS,-0.075(-1.55),-0.048**(-2.12),0.205***(2.77),0.031(1.21)
EX_INDAT,0.008***(10.06),0.003***(4.07),0.001(0.83),0.0(0.25)
AT,0.018***(25.07),0.01***(5.85),0.072**(2.01),0.04**(2.06)
Industry effect,Controled,Controled,Not Controled,Not Controled
Firm Effect,Not Controled,Not Controled,Controled,Controled
Year,Controled,Controled,Controled,Controled
R2,0.01,0.02,0.16,0.15
f_statistic,7.83,10.17,65.27,58.35
N_obs,7402,7402,7402,7402
