,FEM_Ind_NCSKEW,FEM_Ind_DUVOL,FEM_Firm_NCSKEW,FEM_Firm_DUVOL
const,-1.708***(-6.52),-0.744***(-3.27),-11.578***(-11.23),-5.686***(-12.11)
ControlCrashRisk,0.02(1.35),0.028(1.27),-0.329***(-4.04),-0.326***(-4.06)
ANALYST,0.027(1.19),0.035**(2.11),0.169***(32.21),0.073***(24.18)
Dturn,-0.049**(-1.96),-0.029(-1.25),-0.155***(-3.21),-0.088***(-3.58)
RET,8.486***(2.8),5.571*(1.91),-9.706(-1.55),-4.201*(-1.71)
SIGMA,2.126**(2.04),0.832(1.28),5.178***(3.57),2.687***(3.74)
PB,0.047***(3.53),0.026***(3.7),0.225***(15.15),0.11***(9.21)
ROA_TTM,-0.325(-1.15),-0.157(-0.91),0.79***(6.0),0.452***(9.87)
LEV,-0.243***(-9.08),-0.121***(-5.49),-0.436***(-9.05),-0.133***(-8.95)
SIZE,0.044***(7.09),0.003(0.53),0.425***(10.07),0.189***(10.4)
ACCM,0.089(0.66),0.184(1.3),0.665***(7.53),0.477***(4.06)
INS,-0.05(-1.05),-0.038*(-1.79),0.243**(2.03),0.071(0.97)
EX_INDAT_read,0.467*(1.76),0.194(1.22),0.077(0.3),0.032(0.18)
AT,0.022***(5.63),0.009**(2.54),0.087***(2.6),0.045***(2.84)
Industry effect,Controled,Controled,Not Controled,Not Controled
Firm Effect,Not Controled,Not Controled,Controled,Controled
Year,Controled,Controled,Controled,Controled
R2,0.01,0.02,0.17,0.16
f_statistic,8.58,10.74,78.82,69.94
N_obs,8039,8039,8039,8039
