,FEM_Ind_NCSKEW,FEM_Ind_DUVOL,FEM_Firm_NCSKEW,FEM_Firm_DUVOL
const,-1.647***(-8.04),-0.725***(-3.88),-11.612***(-6.4),-5.607***(-6.11)
ControlCrashRisk,0.019(0.83),0.027(0.97),-0.329**(-2.41),-0.325**(-2.33)
ANALYST,0.027(0.75),0.035*(1.71),0.174***(6.7),0.074***(4.54)
Dturn,-0.048*(-1.75),-0.028(-1.16),-0.151**(-2.51),-0.087***(-2.72)
RET,7.266*(1.85),4.768(1.46),-10.317*(-1.71),-4.562*(-1.66)
SIGMA,2.275*(1.83),0.902(1.21),5.016*(1.96),2.655**(2.12)
PB,0.052***(3.71),0.029***(4.69),0.227***(7.84),0.112***(5.6)
ROA_TTM,-0.308(-1.02),-0.142(-0.73),0.776***(3.21),0.441***(3.39)
LEV,-0.228***(-5.0),-0.112***(-4.09),-0.429**(-2.22),-0.146(-1.3)
SIZE,0.043***(8.83),0.003(0.62),0.427***(5.43),0.186***(4.81)
ACCM,0.115(0.93),0.214(1.48),0.635***(2.76),0.463***(2.64)
INS,-0.055(-0.78),-0.041(-1.03),0.163(0.64),0.048(0.36)
EX_INDAT,0.043**(2.16),0.018**(2.02),0.003(0.07),-0.002(-0.07)
AT,0.022***(4.59),0.008*(1.81),0.088**(2.28),0.046**(2.4)
Industry effect,Controled,Controled,Not Controled,Not Controled
Firm Effect,Not Controled,Not Controled,Controled,Controled
Year,Controled,Controled,Controled,Controled
R2,0.01,0.02,0.18,0.16
f_statistic,8.27,10.59,81.67,72.04
N_obs,8161,8161,8161,8161
