,FEM_Ind_NCSKEW,FEM_Ind_DUVOL,FEM_Firm_NCSKEW,FEM_Firm_DUVOL
const,-1.704***(-5.73),-0.736***(-3.05),-11.578***(-6.3),-5.685***(-5.74)
ControlCrashRisk,0.02(0.89),0.028(0.97),-0.329**(-2.41),-0.326**(-2.34)
ANALYST,0.027(0.77),0.035*(1.73),0.169***(6.33),0.073***(4.67)
Dturn,-0.049*(-1.94),-0.029(-1.23),-0.155***(-2.57),-0.088***(-2.79)
RET,8.557**(2.39),5.609*(1.76),-9.683(-1.44),-4.185(-1.36)
SIGMA,2.121*(1.74),0.83(1.13),5.177**(1.97),2.688**(2.08)
PB,0.047***(3.24),0.026***(3.77),0.225***(7.52),0.11***(5.49)
ROA_TTM,-0.328(-1.15),-0.159(-0.86),0.789***(3.2),0.452***(3.23)
LEV,-0.244***(-6.85),-0.122***(-4.93),-0.437**(-2.1),-0.134(-1.19)
SIZE,0.044***(6.23),0.003(0.46),0.425***(5.27),0.189***(4.52)
ACCM,0.09(0.66),0.185(1.24),0.666***(2.92),0.478***(2.82)
INS,-0.05(-0.72),-0.038(-1.03),0.241(0.87),0.069(0.46)
EX_INDAT_read,0.589(1.48),0.222(0.93),0.083(0.21),0.02(0.07)
AT,0.022***(6.08),0.009**(2.34),0.087**(2.22),0.045**(2.36)
Industry effect,Controled,Controled,Not Controled,Not Controled
Firm Effect,Not Controled,Not Controled,Controled,Controled
Year,Controled,Controled,Controled,Controled
R2,0.01,0.02,0.17,0.16
f_statistic,8.44,10.62,78.81,69.93
N_obs,8039,8039,8039,8039
