,FEM_Ind_NCSKEW,FEM_Ind_DUVOL,FEM_Firm_NCSKEW,FEM_Firm_DUVOL
const,-1.399***(-3.83),-0.517**(-2.17),-9.555***(-3.97),-4.981***(-4.64)
ControlCrashRisk,0.022(1.17),0.027(0.93),-0.328**(-2.29),-0.326**(-2.31)
ANALYST,0.023(0.66),0.033*(1.83),0.179***(5.37),0.082***(3.49)
Dturn,-0.063***(-2.64),-0.035(-1.57),-0.124*(-1.86),-0.077**(-2.18)
RET,12.862***(3.1),7.848**(2.13),-8.848(-1.28),-3.872(-1.13)
SIGMA,0.747(0.5),-0.064(-0.07),4.947*(1.8),2.298(1.47)
PB,0.033*(1.83),0.018*(1.8),0.219***(7.05),0.098***(4.47)
ROA_TTM,-0.232*(-1.86),-0.092(-1.3),0.882**(2.47),0.556***(2.91)
LEV,-0.216***(-4.24),-0.097***(-2.76),-0.417(-1.64),-0.178(-1.07)
SIZE,0.035***(3.1),-0.005(-0.64),0.352***(3.35),0.168***(3.62)
ACCM,-0.206(-0.72),0.032(0.17),0.379(1.28),0.4**(2.0)
INS,-0.079(-1.03),-0.046(-1.12),0.259(0.77),0.041(0.24)
EX_INDAT,0.007***(13.34),0.004***(7.22),0.001(0.71),0.0(0.13)
AT,0.003(0.46),0.002(0.49),0.039(0.9),0.025(1.07)
Industry effect,Controled,Controled,Not Controled,Not Controled
Firm Effect,Not Controled,Not Controled,Controled,Controled
Year,Controled,Controled,Controled,Controled
R2,0.01,0.02,0.15,0.14
f_statistic,6.57,8.56,51.06,44.78
N_obs,6527,6527,6527,6527
