,FEM_Ind_NCSKEW,FEM_Ind_DUVOL,FEM_Firm_NCSKEW,FEM_Firm_DUVOL
const,-1.525***(-5.07),-0.625***(-2.57),-11.459***(-5.66),-5.82***(-5.98)
ControlCrashRisk,0.02(1.0),0.029(1.04),-0.327**(-2.31),-0.325**(-2.26)
ANALYST,0.027(0.8),0.035*(1.85),0.161***(5.69),0.066***(3.44)
Dturn,-0.057**(-2.01),-0.032(-1.31),-0.141**(-2.42),-0.085***(-2.86)
RET,11.266***(3.2),6.991**(2.06),-8.636(-1.24),-3.546(-1.03)
SIGMA,1.319(1.05),0.351(0.48),5.145**(1.99),2.655*(1.94)
PB,0.045***(2.66),0.026***(3.61),0.233***(8.54),0.112***(5.35)
ROA_TTM,-0.429**(-2.29),-0.211(-1.46),0.719**(2.49),0.411**(2.45)
LEV,-0.242***(-3.57),-0.113***(-2.86),-0.331(-1.32),-0.093(-0.75)
SIZE,0.04***(3.92),-0.001(-0.11),0.427***(4.79),0.199***(4.83)
ACCM,-0.091(-0.42),0.067(0.36),0.64**(2.27),0.468***(2.58)
INS,-0.075(-1.03),-0.048(-1.23),0.185(0.65),0.022(0.15)
EX_INDAT_read,0.131***(3.27),0.053(1.63),-0.023(-0.45),-0.014(-0.31)
AT,0.02***(24.23),0.011***(6.41),0.074*(1.77),0.041*(1.81)
Industry effect,Controled,Controled,Not Controled,Not Controled
Firm Effect,Not Controled,Not Controled,Controled,Controled
Year,Controled,Controled,Controled,Controled
R2,0.01,0.02,0.16,0.15
f_statistic,7.27,9.86,65.26,58.36
N_obs,7402,7402,7402,7402
