,Stkcd,year,ACCM
0,000002,2018,0.0122884462532648
1,000002,2019,0.00350383194916392
2,000002,2020,0.00120458002946879
3,000003,2018,0.096293103772987
4,000004,2018,0.160739129618637
5,000004,2019,0.313299145360173
6,000004,2020,0.0382043897732034
7,000005,2018,0.0390511247161433
8,000006,2018,0.0646519757246952
9,000006,2019,0.0749459716952372
10,000006,2020,0.052304450476948
11,000008,2018,0.0516875333260769
12,000008,2019,0.0113897684154307
13,000008,2020,0.0936834951379114
14,000009,2018,0.0994784947449938
15,000009,2019,0.0228946666855599
16,000009,2020,0.0411851566626672
17,000010,2018,0.222170495228414
18,000011,2018,0.105917991899062
19,000011,2019,0.0502832286649769
20,000011,2020,0.0461055923290684
21,000012,2018,0.0821333551204442
22,000014,2018,0.0556317646044345
23,000014,2019,0.00571101021173044
24,000016,2018,0.0781814179720838
25,000016,2019,0.00536733639164604
26,000016,2020,0.0892716764540603
27,000017,2018,0.151671270540662
28,000017,2019,0.110812578186977
29,000017,2020,0.0788233329655054
30,000018,2018,0.117704062710167
31,000019,2018,0.00534230445816841
32,000019,2019,0.0507477893575516
33,000019,2020,0.0181492621301819
34,000020,2018,0.0626974647063325
35,000021,2018,0.0314971206247658
36,000021,2019,0.0675150846566147
37,000021,2020,0.160979500312004
38,001872,2018,0.028254057147926
39,001872,2019,0.0336513751633846
40,001872,2020,0.0244631968073977
41,000023,2018,0.0608643553057941
42,000023,2019,0.0431055461959391
43,000023,2020,0.00678741671797551
44,000025,2018,0.0500551775829811
45,000025,2019,0.0270982862845544
46,000025,2020,0.0267046418693495
47,000026,2018,0.0377645341412592
48,000026,2019,0.084834482986139
49,000026,2020,0.0604762481465599
50,000027,2018,0.039215995195881
51,000028,2018,0.0350561756056193
52,000028,2019,0.023897623924327
53,000028,2020,0.0228083593366343
54,000029,2018,0.0738036315365163
55,000029,2019,0.0174086095577899
56,000030,2018,0.0566758116159845
57,000030,2019,0.044756378994605
58,000030,2020,0.0312711377048026
59,000031,2018,0.040496588906681
60,000031,2019,0.0151728399359863
61,000031,2020,0.0496978271639609
62,000032,2018,0.0582007059849443
63,000032,2019,0.0343006163310086
64,000032,2020,0.101476555043026
65,000033,2018,0.0929228513741944
66,000033,2019,0.0158071038731649
67,000034,2018,0.0390046308662168
68,000034,2019,0.00171936919522575
69,000034,2020,0.0287474627041582
70,000035,2018,0.00256162573201584
71,000036,2018,0.252405964790808
72,000036,2019,0.0653084652195815
73,000036,2020,0.0818959897762947
74,000037,2018,0.0965200356900533
75,000037,2019,0.0615849264199514
76,000038,2018,0.278052125134676
77,000038,2019,0.26073850586805
78,000038,2020,0.0969166925045692
79,000039,2018,0.00998164290117661
80,000039,2019,0.023474661576676
81,000039,2020,0.0761935466095527
82,000040,2018,0.138279687724964
83,000042,2018,0.0647768762596697
84,000042,2019,0.0192109246117297
85,000042,2020,0.00171952366693403
86,001914,2018,0.0673932948763387
87,001914,2019,0.031628321554764
88,001914,2020,0.000110816310418739
89,000045,2018,0.0998369450329917
90,000045,2019,0.0736673116506803
91,000045,2020,0.0107063873713448
92,000046,2018,0.0542545007345705
93,000046,2019,0.0228290205092038
94,000046,2020,0.0734832412082447
95,000048,2018,0.162299870411218
96,000049,2018,0.00979125487762519
97,000049,2019,0.111598407420042
98,000049,2020,0.0880951411579967
99,000050,2018,0.041714080792792
100,000050,2019,0.0752854745822307
101,000050,2020,0.0884535909638359
102,000055,2018,0.0449708195657199
103,000055,2019,0.0300162629523282
104,000055,2020,0.05168005126725
105,000056,2018,0.00934526635039854
106,000056,2019,0.0215132104118645
107,000056,2020,0.0652206403208831
108,000058,2018,0.0346367479210572
109,000058,2019,0.059151340913079
110,000058,2020,0.0705654078473474
111,000059,2018,0.0394097727874243
112,000059,2019,0.0419695703070373
113,000060,2018,0.0480435922577047
114,000060,2019,0.078806394348647
115,000060,2020,0.0422661030556662
116,000061,2018,0.0689607572871231
117,000061,2019,0.0411110951822616
118,000061,2020,0.0305201408064062
119,000062,2018,0.131048908566833
120,000062,2019,0.0493777584361057
121,000062,2020,0.0318899721125684
122,000063,2018,0.0547161798315073
123,000063,2019,0.0456016748665655
124,000063,2020,0.0674304864901709
125,000065,2018,0.0227389698525077
126,000065,2019,0.0924720957904958
127,000065,2020,0.145906386221694
128,000066,2018,0.00351383533109848
129,000068,2018,0.022168921597888
130,000069,2018,0.0971161120877225
131,000069,2019,0.0541463554964046
132,000069,2020,0.0219802288233599
133,000070,2018,0.0173949201748934
134,000070,2019,0.0386140975790498
135,000070,2020,0.0111496274369737
136,000078,2018,0.0017506841590347
137,000078,2019,0.0405009418148225
138,000078,2020,0.0380018953827998
139,000088,2018,0.0734717129475717
140,000088,2019,0.0141261000782361
141,000089,2018,0.0303352009178817
142,000089,2019,0.031249357877919
143,000089,2020,0.0294598294654713
144,000090,2018,0.0322143933073818
145,000090,2019,0.0469360121043823
146,000090,2020,0.0416927060696467
147,000096,2018,0.0378324294565639
148,000096,2019,0.0110321918917555
