,Stkcd,Time,BP
0,000002,2016-12-31,0.935445
1,000002,2017-12-31,0.894484
2,000002,2018-12-31,0.984508
3,000002,2019-12-31,0.955774
4,000002,2020-12-31,1.0074
5,000004,2016-12-31,0.059298
6,000004,2017-12-31,0.138316
7,000004,2018-12-31,0.234188
8,000004,2019-12-31,0.752233
9,000004,2020-12-31,0.610773
10,000006,2016-12-31,0.634134
11,000006,2018-12-31,0.957162
12,000006,2019-12-31,0.995847
13,000006,2020-12-31,1.017437
14,000008,2016-12-31,0.434793
15,000008,2017-12-31,0.461561
16,000008,2018-12-31,0.764284
17,000008,2019-12-31,0.835044
18,000008,2020-12-31,0.97136
19,000009,2016-12-31,0.608019
20,000009,2017-12-31,0.830901
21,000009,2018-12-31,1.040815
22,000009,2019-12-31,0.853494
23,000009,2020-12-31,0.83908
24,000010,2016-12-31,0.704309
25,000010,2017-12-31,0.598985
26,000010,2018-12-31,0.711696
27,000010,2019-12-31,0.768153
28,000010,2020-12-31,0.699459
29,000011,2016-12-31,0.703487
30,000011,2017-12-31,0.704853
31,000011,2018-12-31,0.915818
32,000011,2019-12-31,0.842691
33,000011,2020-12-31,0.805802
34,000012,2016-12-31,0.61301
35,000012,2017-12-31,0.713248
36,000012,2018-12-31,0.995812
37,000012,2019-12-31,0.878067
38,000012,2020-12-31,0.729036
39,000014,2016-12-31,0.355382
40,000014,2017-12-31,0.526536
41,000014,2018-12-31,0.674889
42,000014,2019-12-31,0.681461
43,000014,2020-12-31,0.772591
44,000016,2016-12-31,0.743671
45,000016,2017-12-31,0.867665
46,000016,2018-12-31,1.08916
47,000016,2019-12-31,1.028221
48,000016,2020-12-31,0.970442
49,000017,2016-12-31,0.01084
50,000017,2017-12-31,0.029523
51,000017,2018-12-31,0.039789
52,000017,2019-12-31,0.034915
53,000017,2020-12-31,0.092999
54,000018,2016-12-31,0.500942
55,000018,2017-12-31,0.743705
56,000018,2018-12-31,0.815029
57,000019,2016-12-31,0.178274
58,000019,2018-12-31,0.823681
59,000019,2019-12-31,0.893372
60,000019,2020-12-31,0.844736
61,000020,2016-12-31,0.126346
