,Stkcd,Time,INS
0,000002,2016-12-31,0.586376
1,000002,2017-12-31,0.71902
2,000002,2018-12-31,0.7837550000000001
3,000002,2019-12-31,0.740112
4,000002,2020-12-31,0.691104
5,000004,2016-12-31,0.510811
6,000004,2017-12-31,0.511561
7,000004,2018-12-31,0.456327
8,000004,2019-12-31,0.441
9,000004,2020-12-31,0.474332
10,000006,2016-12-31,0.393283
11,000006,2017-12-31,0.421645
12,000006,2018-12-31,0.41778
13,000006,2019-12-31,0.435418
14,000006,2020-12-31,0.411669
15,000008,2016-12-31,0.341211
16,000008,2017-12-31,0.44806100000000004
17,000008,2018-12-31,0.45465400000000006
18,000008,2019-12-31,0.42790100000000003
19,000008,2020-12-31,0.42768300000000004
20,000009,2016-12-31,0.204071
21,000009,2017-12-31,0.204031
22,000009,2018-12-31,0.209145
23,000009,2019-12-31,0.21990500000000002
24,000009,2020-12-31,0.27076300000000003
25,000010,2016-12-31,0.43446599999999996
26,000010,2017-12-31,0.39856800000000003
27,000010,2018-12-31,0.426086
28,000010,2019-12-31,0.45122999999999996
29,000010,2020-12-31,0.432887
30,000011,2016-12-31,0.6437130000000001
31,000011,2017-12-31,0.643711
32,000011,2018-12-31,0.6428619999999999
33,000011,2019-12-31,0.642745
34,000011,2020-12-31,0.634151
35,000012,2016-12-31,0.32826500000000003
36,000012,2017-12-31,0.297774
37,000012,2018-12-31,0.307765
38,000012,2019-12-31,0.322379
39,000012,2020-12-31,0.335149
40,000014,2016-12-31,0.5155230000000001
41,000014,2017-12-31,0.416922
42,000014,2018-12-31,0.3556
43,000014,2019-12-31,0.34591700000000003
44,000014,2020-12-31,0.34070900000000004
45,000016,2016-12-31,0.39564
46,000016,2017-12-31,0.378589
47,000016,2018-12-31,0.388097
48,000016,2019-12-31,0.38819800000000004
49,000016,2020-12-31,0.38087200000000004
50,000017,2016-12-31,0.192801
51,000017,2017-12-31,0.2475
52,000017,2018-12-31,0.19510000000000002
53,000017,2019-12-31,0.19500699999999999
54,000017,2020-12-31,0.201
55,000018,2016-12-31,0.285258
56,000018,2017-12-31,0.204268
57,000018,2018-12-31,0.153524
58,000019,2016-12-31,0.359153
59,000019,2017-12-31,0.357487
60,000019,2018-12-31,0.7253000000000001
61,000019,2019-12-31,0.7221599999999999
62,000019,2020-12-31,0.729079
63,000020,2016-12-31,0.5340010000000001
64,000020,2017-12-31,0.5401
65,000020,2018-12-31,0.5479999999999999
66,000020,2019-12-31,0.5568780000000001
67,000020,2020-12-31,0.5474
68,000021,2016-12-31,0.558612
69,000021,2017-12-31,0.543651
70,000021,2018-12-31,0.549165
71,000021,2019-12-31,0.530886
72,000021,2020-12-31,0.480492
73,000022,2016-12-31,0.7591960000000001
74,000022,2017-12-31,0.7699750000000001
75,000023,2016-12-31,0.5525460000000001
76,000023,2017-12-31,0.521731
77,000023,2018-12-31,0.431515
78,000023,2019-12-31,0.42747100000000005
79,000023,2020-12-31,0.532303
80,000025,2016-12-31,0.747723
81,000025,2017-12-31,0.7355740000000001
82,000025,2018-12-31,0.7177450000000001
83,000025,2019-12-31,0.6831539999999999
84,000025,2020-12-31,0.6522239999999999
85,000026,2016-12-31,0.472269
86,000026,2017-12-31,0.469988
87,000026,2018-12-31,0.433555
88,000026,2019-12-31,0.37703400000000004
89,000026,2020-12-31,0.486316
90,000027,2016-12-31,0.7752500000000001
91,000027,2017-12-31,0.770463
92,000027,2018-12-31,0.783236
93,000027,2019-12-31,0.7935
94,000027,2020-12-31,0.7712789999999999
95,000028,2016-12-31,0.747325
96,000028,2017-12-31,0.750878
97,000028,2018-12-31,0.7545440000000001
98,000028,2019-12-31,0.746422
99,000028,2020-12-31,0.710085
100,000029,2016-12-31,0.64792
101,000029,2017-12-31,0.647918
102,000029,2018-12-31,0.647912
103,000029,2019-12-31,0.647912
104,000029,2020-12-31,0.639
105,000030,2016-12-31,0.7433230000000001
106,000030,2017-12-31,0.721066
107,000030,2018-12-31,0.72681
108,000030,2019-12-31,0.726541
109,000030,2020-12-31,0.778613
110,000031,2016-12-31,0.513134
111,000031,2017-12-31,0.5257269999999999
112,000031,2018-12-31,0.540954
113,000031,2019-12-31,0.8307479999999999
114,000031,2020-12-31,0.8084680000000001
115,000032,2016-12-31,0.6475749999999999
116,000032,2017-12-31,0.650838
117,000032,2018-12-31,0.656818
118,000032,2019-12-31,0.66149
119,000032,2020-12-31,0.625801
120,000033,2016-12-31,0.31760000000000005
121,000034,2016-12-31,0.312461
122,000034,2017-12-31,0.25948
123,000034,2018-12-31,0.253791
124,000034,2019-12-31,0.252382
125,000034,2020-12-31,0.19865100000000002
126,000035,2016-12-31,0.523555
127,000035,2017-12-31,0.5159980000000001
128,000035,2018-12-31,0.489569
129,000035,2019-12-31,0.561764
130,000035,2020-12-31,0.48241300000000004
131,000036,2016-12-31,0.351487
132,000036,2017-12-31,0.350057
133,000036,2018-12-31,0.383962
134,000036,2019-12-31,0.40086900000000003
135,000036,2020-12-31,0.362769
136,000037,2016-12-31,0.429
137,000037,2017-12-31,0.416367
138,000037,2018-12-31,0.4147
139,000037,2019-12-31,0.444901
140,000037,2020-12-31,0.441186
141,000038,2016-12-31,0.203983
142,000038,2017-12-31,0.19429500000000002
143,000038,2018-12-31,0.195992
144,000038,2019-12-31,0.19173300000000001
145,000038,2020-12-31,0.18851800000000002
146,000039,2016-12-31,0.797011
147,000039,2017-12-31,0.801665
148,000039,2018-12-31,0.7882720000000001
149,000039,2019-12-31,0.79876
