,Stkcd,Time,LEV
0,000002,2016-12-31,0.805367
1,000002,2017-12-31,0.839813
2,000002,2018-12-31,0.845856
3,000002,2019-12-31,0.84359
4,000002,2020-12-31,0.812835
5,000004,2016-12-31,0.203456
6,000004,2017-12-31,0.315247
7,000004,2018-12-31,0.477966
8,000004,2019-12-31,0.060243
9,000004,2020-12-31,0.068264
10,000006,2016-12-31,0.610499
11,000006,2017-12-31,0.565648
12,000006,2018-12-31,0.528236
13,000006,2019-12-31,0.544612
14,000006,2020-12-31,0.492185
15,000008,2016-12-31,0.246583
16,000008,2017-12-31,0.326949
17,000008,2018-12-31,0.29251
18,000008,2019-12-31,0.370962
19,000008,2020-12-31,0.480167
20,000009,2016-12-31,0.623791
21,000009,2017-12-31,0.633121
22,000009,2018-12-31,0.649896
23,000009,2019-12-31,0.645559
24,000009,2020-12-31,0.584217
25,000010,2016-12-31,0.544721
26,000010,2017-12-31,0.620116
27,000010,2018-12-31,0.819505
28,000010,2019-12-31,0.824373
29,000010,2020-12-31,0.769527
30,000011,2016-12-31,0.637636
31,000011,2017-12-31,0.458117
32,000011,2018-12-31,0.425931
33,000011,2019-12-31,0.696768
34,000011,2020-12-31,0.690259
35,000012,2016-12-31,0.525907
36,000012,2017-12-31,0.55057
37,000012,2018-12-31,0.505634
38,000012,2019-12-31,0.457957
39,000012,2020-12-31,0.406367
40,000014,2016-12-31,0.575952
41,000014,2017-12-31,0.476437
42,000014,2018-12-31,0.504366
43,000014,2019-12-31,0.515342
44,000014,2020-12-31,0.608096
45,000016,2016-12-31,0.807546
46,000016,2017-12-31,0.652011
47,000016,2018-12-31,0.713465
48,000016,2019-12-31,0.766908
49,000016,2020-12-31,0.78505
50,000017,2016-12-31,0.680489
51,000017,2017-12-31,0.743597
52,000017,2018-12-31,0.768163
53,000017,2019-12-31,0.817616
54,000017,2020-12-31,0.720498
55,000018,2016-12-31,0.770794
56,000018,2017-12-31,0.806291
57,000018,2018-12-31,0.972347
58,000019,2016-12-31,0.109292
59,000019,2017-12-31,0.100181
60,000019,2018-12-31,0.329474
61,000019,2019-12-31,0.31758
62,000019,2020-12-31,0.34396
63,000020,2016-12-31,0.494528
64,000020,2017-12-31,0.490804
65,000020,2018-12-31,0.475007
66,000020,2019-12-31,0.463615
67,000020,2020-12-31,0.464384
68,000021,2016-12-31,0.547908
69,000021,2017-12-31,0.642835
70,000021,2018-12-31,0.576803
71,000021,2019-12-31,0.615132
72,000021,2020-12-31,0.629761
73,000022,2016-12-31,0.148552
74,000022,2017-12-31,0.176595
75,000023,2016-12-31,0.699066
76,000023,2017-12-31,0.754666
77,000023,2018-12-31,0.781529
78,000023,2019-12-31,0.767842
79,000023,2020-12-31,0.739688
80,000025,2016-12-31,0.235883
81,000025,2017-12-31,0.28881
82,000025,2018-12-31,0.337101
83,000025,2019-12-31,0.186276
84,000025,2020-12-31,0.189527
85,000026,2016-12-31,0.406989
86,000026,2017-12-31,0.310582
87,000026,2018-12-31,0.286011
88,000026,2019-12-31,0.294179
89,000026,2020-12-31,0.303269
90,000027,2016-12-31,0.592068
91,000027,2017-12-31,0.679887
92,000027,2018-12-31,0.676944
93,000027,2019-12-31,0.650566
94,000027,2020-12-31,0.633063
95,000028,2016-12-31,0.581754
96,000028,2017-12-31,0.55569
97,000028,2018-12-31,0.519335
98,000028,2019-12-31,0.541779
99,000028,2020-12-31,0.573461
100,000029,2016-12-31,0.335385
101,000029,2017-12-31,0.323178
102,000029,2018-12-31,0.314014
103,000029,2019-12-31,0.282032
104,000029,2020-12-31,0.259237
105,000030,2016-12-31,0.3635
106,000030,2017-12-31,0.389791
107,000030,2018-12-31,0.389844
108,000030,2019-12-31,0.423117
109,000030,2020-12-31,0.427812
110,000031,2016-12-31,0.815795
111,000031,2017-12-31,0.844959
112,000031,2018-12-31,0.849079
113,000031,2019-12-31,0.767767
114,000031,2020-12-31,0.771622
115,000032,2016-12-31,0.20752
116,000032,2017-12-31,0.186046
117,000032,2018-12-31,0.295935
118,000032,2019-12-31,0.292026
119,000032,2020-12-31,0.300958
120,000033,2016-12-31,0.928519
121,000034,2016-12-31,0.844418
122,000034,2017-12-31,0.861665
123,000034,2018-12-31,0.851975
124,000034,2019-12-31,0.851301
125,000034,2020-12-31,0.846763
126,000035,2016-12-31,0.65617
127,000035,2017-12-31,0.625057
128,000035,2018-12-31,0.626002
129,000035,2019-12-31,0.752553
130,000035,2020-12-31,0.751984
131,000036,2016-12-31,0.586168
132,000036,2017-12-31,0.417036
133,000036,2018-12-31,0.500599
134,000036,2019-12-31,0.534994
135,000036,2020-12-31,0.462818
136,000037,2016-12-31,0.536181
137,000037,2017-12-31,0.298029
138,000037,2018-12-31,0.384122
139,000037,2019-12-31,0.359328
140,000037,2020-12-31,0.308885
141,000038,2016-12-31,0.200153
142,000038,2017-12-31,0.06498
143,000038,2018-12-31,0.133376
144,000038,2019-12-31,0.055956
145,000038,2020-12-31,0.102017
146,000039,2016-12-31,0.685954
147,000039,2017-12-31,0.668943
148,000039,2018-12-31,0.670181
149,000039,2019-12-31,0.680212
150,000039,2020-12-31,0.631672
151,000040,2016-12-31,0.365806
152,000040,2017-12-31,0.600067
153,000040,2018-12-31,0.576703
154,000040,2019-12-31,0.563673
155,000040,2020-12-31,0.534554
156,000042,2016-12-31,0.799012
157,000042,2017-12-31,0.842186
158,000042,2018-12-31,0.833525
159,000042,2019-12-31,0.822497
160,000042,2020-12-31,0.815569
161,000043,2016-12-31,0.78246
162,000043,2017-12-31,0.759415
163,000043,2018-12-31,0.630899
164,000045,2016-12-31,0.164936
165,000045,2017-12-31,0.160336
166,000045,2018-12-31,0.251066
167,000045,2019-12-31,0.149354
168,000045,2020-12-31,0.215358
169,000048,2016-12-31,0.578484
170,000048,2017-12-31,0.818492
171,000048,2018-12-31,0.763554
172,000048,2019-12-31,0.632612
173,000048,2020-12-31,0.719174
174,000049,2016-12-31,0.708479
175,000049,2017-12-31,0.761753
176,000049,2018-12-31,0.743297
177,000049,2019-12-31,0.673751
178,000049,2020-12-31,0.687771
179,000050,2016-12-31,0.365342
180,000050,2017-12-31,0.511848
181,000050,2018-12-31,0.566855
182,000050,2019-12-31,0.591951
183,000050,2020-12-31,0.543647
184,000055,2016-12-31,0.660779
185,000055,2017-12-31,0.575245
186,000055,2018-12-31,0.512594
187,000055,2019-12-31,0.53991
188,000055,2020-12-31,0.540957
189,000056,2016-12-31,0.482337
190,000056,2017-12-31,0.591611
191,000056,2018-12-31,0.561924
192,000056,2019-12-31,0.554071
193,000056,2020-12-31,0.588872
194,000058,2016-12-31,0.309922
195,000058,2017-12-31,0.630906
196,000058,2018-12-31,0.656307
197,000058,2019-12-31,0.594452
198,000058,2020-12-31,0.574448
199,000059,2016-12-31,0.646672
200,000059,2017-12-31,0.591054
201,000059,2018-12-31,0.576934
202,000059,2019-12-31,0.51817
203,000059,2020-12-31,0.494189
204,000060,2016-12-31,0.515829
205,000060,2017-12-31,0.448532
206,000060,2018-12-31,0.450591
207,000060,2019-12-31,0.440773
208,000060,2020-12-31,0.47259
209,000061,2016-12-31,0.637762
210,000061,2017-12-31,0.659883
211,000061,2018-12-31,0.653134
212,000061,2019-12-31,0.649514
213,000061,2020-12-31,0.634451
214,000062,2016-12-31,0.410328
215,000062,2017-12-31,0.477586
216,000062,2018-12-31,0.500546
217,000062,2019-12-31,0.496825
218,000062,2020-12-31,0.50159
219,000063,2016-12-31,0.711347
220,000063,2017-12-31,0.684777
221,000063,2018-12-31,0.745184
222,000063,2019-12-31,0.731206
223,000063,2020-12-31,0.693813
224,000065,2016-12-31,0.698646
225,000065,2017-12-31,0.640241
226,000065,2018-12-31,0.597413
227,000065,2019-12-31,0.630137
228,000065,2020-12-31,0.655597
229,000066,2016-12-31,0.767378
230,000066,2017-12-31,0.502777
231,000066,2018-12-31,0.584406
232,000066,2019-12-31,0.600809
233,000066,2020-12-31,0.660481
