,Stkcd,Time,ROA_TTM
0,000002,2016-12-31,0.039322
1,000002,2017-12-31,0.037283
2,000002,2018-12-31,0.03658
3,000002,2019-12-31,0.033839
4,000002,2020-12-31,0.032952
5,000004,2016-12-31,0.127625
6,000004,2017-12-31,0.023925
7,000004,2018-12-31,-0.069716
8,000004,2019-12-31,-0.003905
9,000004,2020-12-31,0.040542
10,000006,2016-12-31,0.062138
11,000006,2017-12-31,0.06237
12,000006,2018-12-31,0.069209
13,000006,2019-12-31,0.057582
14,000006,2020-12-31,0.057915
15,000008,2016-12-31,0.09006
16,000008,2017-12-31,0.094283
17,000008,2018-12-31,0.032338
18,000008,2019-12-31,0.04064
19,000008,2020-12-31,-0.071722
20,000009,2016-12-31,0.021113
21,000009,2017-12-31,0.013266
22,000009,2018-12-31,0.023352
23,000009,2019-12-31,0.023705
24,000009,2020-12-31,0.034408
25,000010,2016-12-31,0.007775
26,000010,2017-12-31,-0.263872
27,000010,2018-12-31,-0.227803
28,000010,2019-12-31,0.033345
29,000010,2020-12-31,0.019495
30,000011,2016-12-31,0.06432
31,000011,2017-12-31,0.103416
32,000011,2018-12-31,0.105705
33,000011,2019-12-31,0.089453
34,000011,2020-12-31,0.06365
35,000012,2016-12-31,0.049032
36,000012,2017-12-31,0.04518
37,000012,2018-12-31,0.024436
38,000012,2019-12-31,0.030037
39,000012,2020-12-31,0.045003
40,000014,2016-12-31,0.014397
41,000014,2017-12-31,0.00646
42,000014,2018-12-31,0.089694
43,000014,2019-12-31,0.016522
44,000014,2020-12-31,0.004146
45,000016,2016-12-31,0.005854
46,000016,2017-12-31,0.249343
47,000016,2018-12-31,0.02365
48,000016,2019-12-31,0.008864
49,000016,2020-12-31,0.011682
50,000017,2016-12-31,0.077865
51,000017,2017-12-31,0.024742
52,000017,2018-12-31,-0.025619
53,000017,2019-12-31,-0.11493
54,000017,2020-12-31,0.056652
55,000018,2016-12-31,0.078658
56,000018,2017-12-31,0.039081
57,000018,2018-12-31,-0.161698
58,000019,2016-12-31,0.080523
