,Stkcd,year,EX_INDAT_read,AT
0,000002,2016,,
1,000002,2017,,
2,000002,2018,19.0,328.0
5,000004,2016,,
6,000004,2017,,
7,000004,2018,26.0,7.0
8,000004,2019,17.0,1428.0
9,000004,2020,23.0,4807.0
10,000006,2016,,
11,000006,2017,,
12,000006,2018,19.0,35.0
13,000006,2019,15.0,2371.0
14,000006,2020,10.0,4896.0
15,000008,2016,,
16,000008,2017,,
17,000008,2018,10.0,15.0
18,000008,2019,6.0,6410.0
19,000008,2020,7.0,5068.0
20,000009,2016,,
21,000009,2017,,
22,000009,2018,6.0,125.0
23,000009,2019,4.0,8017.0
25,000010,2016,,
26,000010,2017,,
27,000010,2018,11.0,7.0
28,000010,2019,8.0,1580.0
29,000010,2020,7.0,2188.0
30,000011,2016,,
31,000011,2017,,
32,000011,2018,19.0,7.0
33,000011,2019,15.0,3325.0
34,000011,2020,10.0,9212.0
35,000012,2016,,
36,000012,2017,,
37,000012,2018,10.0,33.0
38,000012,2019,10.0,2808.0
39,000012,2020,10.0,8530.0
40,000014,2016,,
41,000014,2017,,
42,000014,2018,19.0,23.0
43,000014,2019,15.0,2923.0
44,000014,2020,10.0,1127.0
45,000016,2016,,
46,000016,2017,,
47,000016,2018,51.0,36.0
48,000016,2019,74.0,7328.0
50,000017,2016,,
51,000017,2017,,
52,000017,2018,10.0,27.0
53,000017,2019,6.0,4439.0
54,000017,2020,7.0,2614.0
55,000018,2016,,
56,000018,2017,,
57,000018,2018,1.0,17.0
58,000019,2016,,
59,000019,2017,,
60,000019,2018,2.0,28.0
61,000019,2019,6.0,3854.0
62,000019,2020,5.0,7341.0
63,000020,2016,,
64,000020,2017,,
65,000020,2018,51.0,9.0
66,000020,2019,74.0,1354.0
67,000020,2020,70.0,821.0
68,000021,2016,,
69,000021,2017,,
70,000021,2018,51.0,70.0
73,000022,2016,,
74,000022,2017,,
75,000023,2016,,
76,000023,2017,,
77,000023,2018,10.0,22.0
78,000023,2019,10.0,2793.0
79,000023,2020,10.0,1124.0
80,000025,2016,,
81,000025,2017,,
82,000025,2018,11.0,7.0
83,000025,2019,6.0,5173.0
84,000025,2020,5.0,4428.0
85,000026,2016,,
86,000026,2017,,
87,000026,2018,7.0,7.0
88,000026,2019,7.0,3884.0
89,000026,2020,12.0,2557.0
90,000027,2016,,
91,000027,2017,,
92,000027,2018,5.0,5.0
93,000027,2019,7.0,3173.0
