,FEM_Ind_NCSKEW,FEM_Ind_DUVOL,FEM_Firm_NCSKEW,FEM_Firm_DUVOL
const,-1.576***(-4.38),-0.643***(-3.08),-11.436***(-6.91),-5.802***(-6.04)
ControlCrashRisk,0.021(1.47),0.029**(2.2),-0.327***(-18.74),-0.325***(-20.03)
ANALYST,0.027*(1.73),0.035***(3.84),0.161***(4.41),0.066***(3.13)
Dturn,-0.055**(-2.19),-0.031**(-2.17),-0.142***(-3.99),-0.085***(-4.14)
RET,11.33***(4.36),7.012***(4.87),-8.716***(-2.65),-3.599**(-1.97)
SIGMA,1.311(1.61),0.347(0.74),5.156***(4.55),2.664***(4.1)
PB,0.044***(3.13),0.026***(3.18),0.234***(9.38),0.113***(7.82)
ROA_TTM,-0.431**(-2.12),-0.211*(-1.79),0.723**(2.41),0.414**(2.38)
LEV,-0.242***(-3.07),-0.113**(-2.48),-0.333(-1.35),-0.094(-0.66)
SIZE,0.035**(2.1),-0.003(-0.29),0.427***(5.7),0.199***(4.59)
ACCM,-0.095(-0.41),0.065(0.49),0.641**(2.09),0.469***(2.64)
INS,-0.073(-1.34),-0.048(-1.5),0.182(0.63),0.019(0.11)
EX_INDAT,0.109***(2.64),0.043*(1.8),-0.026(-0.7),-0.019(-0.85)
AT,0.019(1.18),0.011(1.12),0.074***(3.12),0.041***(2.99)
Industry effect,Controled,Controled,Not Controled,Not Controled
Firm Effect,Not Controled,Not Controled,Controled,Controled
Year,Controled,Controled,Controled,Controled
R2,0.01,0.02,0.16,0.15
f_statistic,7.38,9.89,65.29,58.4
N_obs,7402,7402,7402,7402
