,FEM_Ind_NCSKEW,FEM_Ind_DUVOL,FEM_Firm_NCSKEW,FEM_Firm_DUVOL
const,-1.522***(-4.19),-0.618***(-2.93),-11.416***(-6.89),-5.802***(-6.04)
ControlCrashRisk,0.02(1.44),0.029**(2.19),-0.327***(-18.75),-0.325***(-20.02)
ANALYST,0.027*(1.71),0.035***(3.82),0.161***(4.41),0.066***(3.12)
Dturn,-0.057**(-2.28),-0.032**(-2.23),-0.14***(-3.95),-0.085***(-4.1)
RET,11.315***(4.35),7.01***(4.87),-8.718***(-2.66),-3.572**(-1.96)
SIGMA,1.302(1.6),0.345(0.73),5.166***(4.56),2.666***(4.1)
PB,0.045***(3.21),0.027***(3.23),0.234***(9.42),0.113***(7.81)
ROA_TTM,-0.432**(-2.12),-0.212*(-1.79),0.726**(2.42),0.414**(2.38)
LEV,-0.243***(-3.09),-0.114**(-2.5),-0.329(-1.33),-0.092(-0.64)
SIZE,0.039**(2.32),-0.001(-0.14),0.426***(5.69),0.198***(4.57)
ACCM,-0.091(-0.39),0.067(0.5),0.643**(2.09),0.469***(2.64)
INS,-0.074(-1.36),-0.048(-1.52),0.173(0.6),0.018(0.11)
EX_INDAT_read,0.229*(1.76),0.085(1.13),-0.112(-0.94),-0.052(-0.75)
AT,0.02(1.23),0.011(1.16),0.074***(3.11),0.041***(2.96)
Industry effect,Controled,Controled,Not Controled,Not Controled
Firm Effect,Not Controled,Not Controled,Controled,Controled
Year,Controled,Controled,Controled,Controled
R2,0.01,0.02,0.16,0.15
f_statistic,7.08,9.74,65.33,58.39
N_obs,7402,7402,7402,7402
