,FEM_Ind_NCSKEW,FEM_Ind_DUVOL,FEM_Firm_NCSKEW,FEM_Firm_DUVOL
const,-1.603***(-5.02),-0.697***(-3.76),-11.562***(-7.39),-5.684***(-6.26)
ControlCrashRisk,0.021(1.54),0.028**(2.25),-0.328***(-20.22),-0.326***(-21.46)
ANALYST,0.027*(1.8),0.035***(4.03),0.168***(4.92),0.073***(3.67)
Dturn,-0.047**(-1.97),-0.028**(-2.01),-0.155***(-4.62),-0.088***(-4.55)
RET,8.845***(3.75),5.707***(4.36),-9.605***(-3.26),-4.177**(-2.55)
SIGMA,2.137***(2.86),0.834*(1.94),5.182***(5.01),2.69***(4.53)
PB,0.046***(3.52),0.026***(3.43),0.224***(9.94),0.11***(8.43)
ROA_TTM,-0.331*(-1.76),-0.16(-1.46),0.787***(2.91),0.452***(2.88)
LEV,-0.244***(-3.26),-0.122***(-2.79),-0.437*(-1.92),-0.135(-1.02)
SIZE,0.04**(2.56),0.002(0.2),0.424***(6.0),0.189***(4.6)
ACCM,0.088(0.41),0.184(1.46),0.665**(2.35),0.479***(2.93)
INS,-0.049(-0.93),-0.038(-1.24),0.241(0.89),0.067(0.42)
EX_INDAT,0.018***(3.2),0.006**(1.96),0.002(0.41),-0.0(-0.07)
AT,0.022(1.43),0.009(1.04),0.087***(3.92),0.046***(3.55)
Industry effect,Controled,Controled,Not Controled,Not Controled
Firm Effect,Not Controled,Not Controled,Controled,Controled
Year,Controled,Controled,Controled,Controled
R2,0.01,0.02,0.17,0.16
f_statistic,8.68,10.69,78.81,69.92
N_obs,8039,8039,8039,8039
