,FEM_Ind_NCSKEW,FEM_Ind_DUVOL,FEM_Firm_NCSKEW,FEM_Firm_DUVOL
const,-1.672***(-5.33),-0.738***(-4.05),-11.607***(-7.63),-5.605***(-6.35)
ControlCrashRisk,0.019(1.43),0.027**(2.2),-0.33***(-20.53),-0.325***(-21.69)
ANALYST,0.028*(1.87),0.036***(4.12),0.174***(5.16),0.073***(3.76)
Dturn,-0.048**(-2.03),-0.028**(-2.04),-0.152***(-4.57),-0.087***(-4.5)
RET,7.212***(3.15),4.736***(3.73),-10.337***(-3.62),-4.593***(-2.89)
SIGMA,2.3***(3.16),0.913**(2.17),5.021***(4.98),2.656***(4.58)
PB,0.051***(4.02),0.029***(3.94),0.227***(10.39),0.112***(8.83)
ROA_TTM,-0.309*(-1.67),-0.142(-1.32),0.776***(2.94),0.441***(2.88)
LEV,-0.227***(-3.05),-0.111***(-2.57),-0.427*(-1.92),-0.145(-1.12)
SIZE,0.044***(2.82),0.004(0.43),0.427***(6.19),0.185***(4.64)
ACCM,0.105(0.49),0.21*(1.69),0.632**(2.28),0.461***(2.87)
INS,-0.055(-1.05),-0.041(-1.35),0.165(0.63),0.05(0.33)
EX_INDAT_read,0.401**(2.37),0.186*(1.88),0.045(0.27),0.028(0.29)
AT,0.021(1.43),0.008(0.88),0.088***(4.03),0.045***(3.57)
Industry effect,Controled,Controled,Not Controled,Not Controled
Firm Effect,Not Controled,Not Controled,Controled,Controled
Year,Controled,Controled,Controled,Controled
R2,0.01,0.02,0.18,0.16
f_statistic,8.56,10.8,81.68,72.05
N_obs,8161,8161,8161,8161
