,N_obs,Mean,Std,Max,Min,Median
NCSKEW,7402,-0.39,0.98,2.13,-3.11,-0.36
ControlNCSKEW,7402,-0.29,0.98,2.72,-3.18,-0.3
DUVOL,7402,-0.5,0.57,0.98,-1.93,-0.49
ControlDUVOL,7402,-0.46,0.58,1.36,-2.17,-0.48
ANALYST,7402,1.68,0.95,4.17,0.69,1.39
Dturn,7402,-0.13,0.5,1.04,-2.21,-0.01
RET,7402,-0.0,0.01,0.03,-0.04,-0.0
SIGMA,7402,0.05,0.02,0.15,0.02,0.05
PB,7402,1.79,1.11,8.17,0.81,1.44
ROA_TTM,7402,0.04,0.07,0.23,-0.36,0.04
LEV,7402,0.41,0.19,0.92,0.06,0.41
SIZE,7402,22.2,1.26,26.25,19.77,22.03
ACCM,7402,0.06,0.05,0.33,0.0,0.04
INS,7402,0.41,0.25,0.91,0.0,0.43
EX_INDAT,7402,2.32,1.08,4.32,0.0,2.48
AT,7402,7.39,1.1,9.23,2.77,7.45
